x,y
154758.023511004,509323.645178853
154757.258301748,509324.993117287
154755.49679782,509327.992028299
154755.02346615,509328.833564242
154752.418753283,509330.990939311
154752.023421295,509331.494688593
154749.02337644,509333.679863739
154748.790798593,509333.989850323
154746.715003768,509336.988761335
154746.023331585,509337.366234222
154743.02328673,509339.295306793
154742.098322398,509339.987672347
154740.023241876,509342.940274079
154739.976065051,509342.986583359
154737.023197021,509345.80887278
154736.917184006,509345.985494371
154735.157201973,509348.984405383
154734.023152166,509350.573260159
154731.023107311,509351.642729071
154730.274280819,509351.983316395
154728.023062457,509353.202265693
154725.931127786,509354.982227407
154725.023017602,509355.825153872
154722.022972747,509357.813054954
154721.777219423,509357.981138419
154719.022927892,509360.352914557
154718.49158223,509360.980049431
154716.504099148,509363.978960443
154716.022883037,509364.56234242
154713.022838183,509366.755492984
154712.629019298,509366.977871455
154710.022793328,509368.520173909
154708.905339977,509369.976782467
154707.022748473,509372.183591318
154706.218778889,509372.975693479
154704.022703618,509374.903569081
154702.606223161,509375.974604491
154701.022658764,509377.164349512
154699.478384559,509378.973515503
154698.022613909,509380.428735956
154696.089644841,509381.972426515
154695.022569054,509382.878789894
154692.929230261,509384.971337527
154692.022524199,509385.828172933
154689.022479344,509387.81090297
154688.850488862,509387.970248539
154686.02243449,509390.913411358
154685.977696503,509390.969159551
154686.02243449,509391.477861501
154686.264000732,509393.968070563
154686.02243449,509394.362559318
154683.309587764,509396.966981575
154683.022389635,509397.319484003
154680.02234478,509399.713743084
154679.585286916,509399.965892587
154677.022299925,509401.788173196
154676.210917901,509402.964803599
154674.02225507,509405.56997204
154673.549038283,509405.963714611
154671.022210216,509407.755466861
154670.490440385,509408.962625623
154669.263049671,509411.961536635
154668.022165361,509413.901095254
154666.582994672,509414.960447647
154665.022120506,509417.120840912
154664.354476515,509417.959358659
154662.022075651,509420.101442122
154660.005248381,509420.958269671
154659.022030797,509421.351408022
154657.007717952,509423.957180683
154656.021985942,509425.195918383
154654.481252017,509426.956091695
154653.021941087,509428.166680478
154650.691407963,509429.955002707
154650.021896232,509430.505282052
154647.021851377,509432.654984279
154646.652527046,509432.953913719
154644.021806523,509435.157197857
154642.749304871,509435.952824731
154641.021761668,509437.11363889
154638.737489475,509438.951735743
154638.021716813,509439.922416971
154636.391680124,509441.950646754
154635.021671958,509443.916528359
154633.70059884,509444.949557767
154632.021627104,509445.739842607
154629.021582249,509447.594800709
154628.511499929,509447.948468779
154626.021537394,509449.527108932
154623.910857427,509450.947379791
154623.021492539,509452.26192641
154621.961572415,509453.946290803
154620.021447684,509456.367276292
154619.443303657,509456.945201814
154617.02140283,509459.067124368
154615.665544587,509459.944112827
154614.021357975,509460.989154369
154611.588644157,509462.943023838
154611.02131312,509463.892773179
154609.285142324,509465.941934851
154608.021268265,509467.067506197
154606.794213093,509468.940845862
154605.021223411,509470.825337601
154603.375010213,509471.939756874
154602.021178556,509472.678559065
154599.545486769,509474.938667887
154599.021133701,509475.695310811
154596.990868185,509477.937578898
154596.021088846,509478.805615373
154593.568855486,509480.93648991
154593.021043991,509481.400384138
154590.020999137,509483.674994641
154589.624409827,509483.935400922
154589.386316551,509486.934311934
154587.020954282,509489.802324356
154586.477015938,509489.933222946
154584.020909427,509490.578017187
154582.599289653,509492.932133958
154581.020864572,509495.263339803
154580.72896182,509495.93104497
154578.813692891,509498.929955982
154578.020819717,509499.717606596
154575.020774863,509501.672319543
154574.844906949,509501.928866994
154572.572015438,509504.927778006
154572.020730008,509505.488155946
154569.020685153,509506.639636766
154567.344054848,509507.926689018
154566.020640298,509509.778768993
154564.381690683,509510.92560003
154563.020595444,509511.785411486
154560.020550589,509513.264571247
154559.394967969,509513.924511042
154557.020505734,509516.91255188
154557.012391211,509516.923422054
154555.543191674,509519.922333066
154554.337405243,509522.921244078
154554.020460879,509523.455685506
154551.020416024,509524.750515425
154548.808961257,509525.92015509
154548.02037117,509526.63678409
154545.995000564,509528.919066102
154545.020326315,509530.177544601
154543.867604285,509531.917977114
154542.02028146,509533.64546467
154539.020236605,509534.696802684
154538.708331013,509534.916888126
154537.579334114,509537.915799138
154536.020191751,509539.14567792
154533.020146896,509539.718102674
154530.020102041,509540.536352059
154529.4494086,509540.91471015
154527.020057186,509543.547786563
154526.43318172,509543.913621162
154524.020012331,509545.652326361
154523.137534753,509546.912532174
154521.019967477,509549.635857984
154520.766511099,509549.911443186
154518.58472049,509552.910354198
154518.019922622,509553.517282452
154515.148457975,509555.90926521
154515.019877767,509556.048973464
154513.481011518,509558.908176222
154512.019832912,509560.814795441
154511.018823632,509561.907087234
154509.019788057,509563.774760729
154507.80045863,509564.905998246
154506.019743203,509566.087147848
154503.019698348,509567.273867289
154502.382678874,509567.904909258
154500.295690494,509570.90382027
154500.019653493,509571.255187793
154498.188073013,509573.902731282
154497.019608638,509575.229129975
154494.509891501,509576.901642294
154494.019563784,509577.544273495
154493.532991879,509579.900553306
154492.463219665,509582.899464318
154491.019518929,509585.287886173
154490.134417526,509585.89837533
154488.019474074,509587.768579667
154486.897532572,509588.897286342
154485.019429219,509590.849278408
154482.792041264,509591.896197354
154482.019384364,509592.35702003
154479.01933951,509594.885995922
154479.007883713,509594.895108366
154476.019294655,509597.481473965
154475.588649718,509597.894019378
154473.0192498,509600.310677451
154472.434117029,509600.89293039
154470.301888834,509603.891841402
154470.019204945,509604.172428514
154467.019160091,509606.711520556
154466.787957941,509606.890752414
154464.236426918,509609.889663426
154464.019115236,509610.083667189
154462.070867023,509612.888574438
154461.019070381,509615.861048115
154460.991249158,509615.88748545
154458.019025526,509617.4652422
154455.018980671,509618.301043046
154454.684839167,509618.886396462
154452.141393146,509621.885307474
154452.018935817,509621.960472155
154449.659739387,509624.884218486
154449.018890962,509625.717399621
154447.099611219,509627.883129498
154446.018846107,509628.969389612
154443.959155273,509630.88204051
154443.018801252,509632.06574243
154441.437214954,509633.880951522
154440.018756397,509634.812214218
154437.018711543,509636.398721235
154436.483907973,509636.879862534
154434.025474669,509639.878773546
154434.018666688,509639.884942477
154431.018621833,509641.996959865
154429.702279692,509642.877684558
154428.018576978,509644.466196456
154426.737220008,509645.87659557
154425.018532124,509648.264790937
154424.205857885,509648.875506582
154422.018487269,509650.34242835
154419.018442414,509651.358417518
154418.571735055,509651.874417594
154416.193455161,509654.873328606
154416.018397559,509655.075351222
154414.363842994,509657.872239618
154413.018352704,509660.614947951
154412.395910756,509660.87115063
154410.01830785,509661.465326576
154407.018262995,509662.574494876
154406.017586742,509663.870061642
154404.431494362,509666.868972654
154404.01821814,509667.331667058
154402.869134989,509669.867883666
154403.020979334,509672.866794678
154401.436879112,509675.86570569
154401.018173285,509676.390704675
154398.018128431,509677.825376281
154396.89514895,509678.864616702
154395.018083576,509681.012908173
154394.119385528,509681.863527714
154392.018038721,509684.271178592
154391.531770878,509684.862438726
154389.017993866,509687.399662242
