MEETPUNT_IDENTIFICATIE,GROOTHEID_OMSCHRIJVING,EENHEID_CODE,HOEDANIGHEID_OMSCHRIJVING,WAARNEMINGDATUM,WAARNEMINGTIJD (MET/CET),NUMERIEKEWAARDE
Markermeer midden (zwaartepunt Markermeer),Waterhoogte,cm,t.o.v. Normaal Amsterdams Peil,07-07-2018,08:00:00,-18
Markermeer midden (zwaartepunt Markermeer),Waterhoogte,cm,t.o.v. Normaal Amsterdams Peil,08-07-2018,08:00:00,-17
Markermeer midden (zwaartepunt Markermeer),Waterhoogte,cm,t.o.v. Normaal Amsterdams Peil,09-07-2018,08:00:00,-17
Markermeer midden (zwaartepunt Markermeer),Waterhoogte,cm,t.o.v. Normaal Amsterdams Peil,10-07-2018,08:00:00,-18
Markermeer midden (zwaartepunt Markermeer),Waterhoogte,cm,t.o.v. Normaal Amsterdams Peil,11-07-2018,08:00:00,-18
Markermeer midden (zwaartepunt Markermeer),Waterhoogte,cm,t.o.v. Normaal Amsterdams Peil,12-07-2018,08:00:00,-19
Markermeer midden (zwaartepunt Markermeer),Waterhoogte,cm,t.o.v. Normaal Amsterdams Peil,13-07-2018,08:00:00,-19
Markermeer midden (zwaartepunt Markermeer),Waterhoogte,cm,t.o.v. Normaal Amsterdams Peil,14-07-2018,08:00:00,-18
Markermeer midden (zwaartepunt Markermeer),Waterhoogte,cm,t.o.v. Normaal Amsterdams Peil,15-07-2018,08:00:00,-18
Markermeer midden (zwaartepunt Markermeer),Waterhoogte,cm,t.o.v. Normaal Amsterdams Peil,16-07-2018,08:00:00,-18
