tide,dates
-0.11285,2019-04-03 09:15:00+00:00
-0.112225,2019-04-03 09:30:00+00:00
-0.111544445,2019-04-03 09:45:00+00:00
-0.117294446,2019-04-03 10:00:00+00:00
-0.11825278,2019-04-03 10:15:00+00:00
-0.11862778,2019-04-03 10:30:00+00:00
-0.11936389,2019-04-03 10:45:00+00:00
-0.12123889,2019-04-03 11:00:00+00:00
-0.12216944,2019-04-03 11:15:00+00:00
-0.123002775,2019-04-03 11:30:00+00:00
-0.119891666,2019-04-03 11:45:00+00:00
-0.11825278,2019-04-03 12:00:00+00:00
-0.116405554,2019-04-03 12:15:00+00:00
-0.1156,2019-04-03 12:30:00+00:00
-0.12135,2019-04-03 12:45:00+00:00
-0.124725,2019-04-03 13:00:00+00:00
-0.13025972,2019-04-03 13:15:00+00:00
-0.13091944,2019-04-03 13:30:00+00:00
-0.1276,2019-04-03 13:45:00+00:00
-0.129975,2019-04-03 14:00:00+00:00
-0.123044446,2019-04-03 14:15:00+00:00
-0.12326667,2019-04-03 14:30:00+00:00
-0.112794444,2019-04-03 14:45:00+00:00
-0.06690556,2019-04-03 15:00:00+00:00
-0.056363888,2019-04-03 15:15:00+00:00
-0.07553056,2019-04-03 15:30:00+00:00
-0.07108611,2019-04-03 15:45:00+00:00
-0.087725,2019-04-03 16:00:00+00:00
-0.13425277,2019-04-03 16:15:00+00:00
-0.1501139,2019-04-03 16:30:00+00:00
-0.1412875,2019-04-03 16:45:00+00:00
-0.14405833,2019-04-03 17:00:00+00:00
-0.12615556,2019-04-03 17:15:00+00:00
-0.12764166,2019-04-03 17:30:00+00:00
-0.12178055,2019-04-03 17:45:00+00:00
-0.105058335,2019-04-03 18:00:00+00:00
-0.11308611,2019-04-03 18:15:00+00:00
-0.124475,2019-04-03 18:30:00+00:00
-0.12941945,2019-04-03 18:45:00+00:00
-0.11326667,2019-04-03 19:00:00+00:00
-0.11801667,2019-04-03 19:15:00+00:00
-0.11836389,2019-04-03 19:30:00+00:00
-0.10848194,2019-04-03 19:45:00+00:00
-0.08846111,2019-04-03 20:00:00+00:00
-0.1026,2019-04-03 20:15:00+00:00
-0.13435,2019-04-03 20:30:00+00:00
-0.12466945,2019-04-03 20:45:00+00:00
-0.13648888,2019-04-03 21:00:00+00:00
-0.14850278,2019-04-03 21:15:00+00:00
-0.1293361,2019-04-03 21:30:00+00:00
-0.12373889,2019-04-03 21:45:00+00:00
-0.11207222,2019-04-03 22:00:00+00:00
-0.1046,2019-04-03 22:15:00+00:00
-0.11394722,2019-04-03 22:30:00+00:00
-0.10905139,2019-04-03 22:45:00+00:00
-0.11586389,2019-04-03 23:00:00+00:00
-0.10950278,2019-04-04 00:15:00+00:00
-0.11229444,2019-04-04 00:30:00+00:00
-0.123058334,2019-04-04 00:45:00+00:00
-0.12737778,2019-04-04 01:00:00+00:00
-0.12104444,2019-04-04 01:15:00+00:00
-0.11782917,2019-04-04 01:30:00+00:00
-0.114377774,2019-04-04 01:45:00+00:00
-0.10821111,2019-04-04 02:00:00+00:00
-0.106016666,2019-04-04 02:15:00+00:00
-0.10796111,2019-04-04 02:30:00+00:00
-0.109919444,2019-04-04 02:45:00+00:00
-0.11935,2019-04-04 03:00:00+00:00
-0.12014167,2019-04-04 03:15:00+00:00
-0.11289167,2019-04-04 03:30:00+00:00
-0.11632222,2019-04-04 03:45:00+00:00
-0.111711115,2019-04-04 04:00:00+00:00
-0.10921111,2019-04-04 04:15:00+00:00
-0.11037778,2019-04-04 04:30:00+00:00
-0.11596111,2019-04-04 04:45:00+00:00
-0.11443333,2019-04-04 05:00:00+00:00
-0.11590555,2019-04-04 05:15:00+00:00
-0.11853056,2019-04-04 05:30:00+00:00
-0.11576667,2019-04-04 05:45:00+00:00
-0.110363886,2019-04-04 06:00:00+00:00
-0.110725,2019-04-04 06:15:00+00:00
-0.11011389,2019-04-04 06:30:00+00:00
-0.1079125,2019-04-04 06:45:00+00:00
-0.11433611,2019-04-04 07:00:00+00:00
-0.11401667,2019-04-04 07:15:00+00:00
-0.116558336,2019-04-04 07:30:00+00:00
-0.120961115,2019-04-04 07:45:00+00:00
-0.11778056,2019-04-04 08:00:00+00:00
-0.110641666,2019-04-04 08:15:00+00:00
-0.11089167,2019-04-04 08:30:00+00:00
-0.10928056,2019-04-04 08:45:00+00:00
-0.110975,2019-04-04 09:00:00+00:00
-0.11012778,2019-04-04 09:15:00+00:00
-0.11096111,2019-04-04 09:30:00+00:00
-0.116113886,2019-04-04 09:45:00+00:00
-0.11614167,2019-04-04 10:00:00+00:00
-0.11957222,2019-04-04 10:15:00+00:00
-0.11835,2019-04-04 10:30:00+00:00
-0.11896111,2019-04-04 10:45:00+00:00
-0.11475278,2019-04-04 11:00:00+00:00
-0.116405554,2019-04-04 11:15:00+00:00
-0.11293333,2019-04-04 11:30:00+00:00
-0.11421111,2019-04-04 11:45:00+00:00
-0.11540555,2019-04-04 12:00:00+00:00
-0.11935,2019-04-04 12:15:00+00:00
-0.11657222,2019-04-04 12:30:00+00:00
-0.11248889,2019-04-04 12:45:00+00:00
-0.11723889,2019-04-04 13:00:00+00:00
-0.11444722,2019-04-04 13:15:00+00:00
-0.11615556,2019-04-04 13:30:00+00:00
-0.11968333,2019-04-04 13:45:00+00:00
-0.12121111,2019-04-04 14:00:00+00:00
-0.12098889,2019-04-04 14:15:00+00:00
-0.12605834,2019-04-04 14:30:00+00:00
-0.12607223,2019-04-04 14:45:00+00:00
-0.1293361,2019-04-04 15:00:00+00:00
-0.13000278,2019-04-04 15:15:00+00:00
-0.13319722,2019-04-04 15:30:00+00:00
-0.13162778,2019-04-04 15:45:00+00:00
-0.13090555,2019-04-04 16:00:00+00:00
-0.13151667,2019-04-04 16:15:00+00:00
-0.12591945,2019-04-04 16:30:00+00:00
-0.1236,2019-04-04 16:45:00+00:00
-0.122266665,2019-04-04 17:00:00+00:00
-0.12011389,2019-04-04 17:15:00+00:00
-0.12085,2019-04-04 17:30:00+00:00
-0.124808334,2019-04-04 17:45:00+00:00
-0.12536389,2019-04-04 18:00:00+00:00
-0.12458611,2019-04-04 18:15:00+00:00
-0.12083611,2019-04-04 18:30:00+00:00
-0.114225,2019-04-04 18:45:00+00:00
-0.11501667,2019-04-04 19:00:00+00:00
-0.11787083,2019-04-04 19:15:00+00:00
-0.12108611,2019-04-04 19:30:00+00:00
-0.12914167,2019-04-04 19:45:00+00:00
-0.13441944,2019-04-04 20:00:00+00:00
-0.13229445,2019-04-04 20:15:00+00:00
-0.13614167,2019-04-04 20:30:00+00:00
-0.13189167,2019-04-04 20:45:00+00:00
-0.12566945,2019-04-04 21:00:00+00:00
-0.11908611,2019-04-04 21:15:00+00:00
-0.114877775,2019-04-04 21:30:00+00:00
-0.11303055,2019-04-04 21:45:00+00:00
-0.11514167,2019-04-04 22:00:00+00:00
-0.1222875,2019-04-04 22:15:00+00:00
-0.1276,2019-04-04 22:30:00+00:00
-0.13554445,2019-04-04 22:45:00+00:00
-0.13523889,2019-04-04 23:00:00+00:00
-0.123558335,2019-04-05 00:15:00+00:00
-0.127225,2019-04-05 00:30:00+00:00
-0.13001667,2019-04-05 00:45:00+00:00
-0.12731528,2019-04-05 01:00:00+00:00
-0.12900278,2019-04-05 01:15:00+00:00
-0.12973888,2019-04-05 01:30:00+00:00
-0.12539166,2019-04-05 01:45:00+00:00
-0.122822225,2019-04-05 02:00:00+00:00
-0.12286389,2019-04-05 02:15:00+00:00
-0.12143333,2019-04-05 02:30:00+00:00
-0.12365556,2019-04-05 02:45:00+00:00
-0.1281,2019-04-05 03:00:00+00:00
-0.12828055,2019-04-05 03:15:00+00:00
-0.1276,2019-04-05 03:30:00+00:00
-0.12714861,2019-04-05 03:45:00+00:00
